CustomerID,Segment,Region,Country,City,LifetimeValue
CUST-000058,Corporate,APAC,Australia,Brisbane,3022.13
CUST-000059,Home Office,APAC,Australia,Perth,439.09
CUST-000060,Home Office,Europe,France,Toulouse,1235.14
CUST-000061,Home Office,Europe,United Kingdom,Manchester,3319.94
CUST-000062,Consumer,North America,Canada,Calgary,313.23
CUST-000063,Consumer,North America,United States,New York,929.88
CUST-000064,Home Office,APAC,Japan,Tokyo,2909.88
CUST-000065,Consumer,North America,Canada,Vancouver,1150.83
CUST-000066,Consumer,APAC,Japan,Nagoya,501.63
CUST-000067,Consumer,Europe,France,Paris,726.67
CUST-000068,Home Office,Europe,Germany,Frankfurt,696.54
CUST-000069,Corporate,Europe,France,Toulouse,1849.72
CUST-000070,Consumer,Europe,France,Marseille,5144.92
CUST-000071,Home Office,Europe,France,Paris,556.09
CUST-000072,Consumer,APAC,Australia,Sydney,651.1
CUST-000073,Consumer,APAC,Australia,Brisbane,202.62
CUST-000074,Corporate,APAC,Japan,Yokohama,1127.93
CUST-000075,Consumer,North America,United States,Phoenix,607.28
CUST-000076,Home Office,Europe,Germany,Munich,533.4
CUST-000077,Consumer,Europe,Germany,Berlin,1091.18
CUST-000078,Home Office,APAC,Australia,Brisbane,538.0
CUST-000079,Corporate,Europe,France,Lyon,2157.44
CUST-000080,Consumer,Europe,France,Paris,1973.85
CUST-000081,Consumer,APAC,Japan,Yokohama,1550.71
CUST-000082,Corporate,APAC,Japan,Osaka,1224.34
CUST-000083,Consumer,North America,Canada,Montreal,2675.1
CUST-000084,Consumer,APAC,Japan,Osaka,439.0
CUST-000085,Consumer,Europe,France,Paris,1401.29
CUST-000086,Corporate,Europe,France,Marseille,173.42
CUST-000087,Corporate,Europe,Germany,Berlin,509.55
CUST-000088,Corporate,North America,United States,Seattle,418.25
CUST-000089,Corporate,APAC,Japan,Yokohama,834.54
CUST-000090,Home Office,North America,Canada,Toronto,357.12
CUST-000091,Consumer,North America,Canada,Toronto,318.62
CUST-000092,Home Office,North America,United States,Atlanta,3087.67
CUST-000093,Consumer,APAC,Japan,Tokyo,1660.27
CUST-000094,Home Office,APAC,Japan,Osaka,1284.19
CUST-000095,Corporate,North America,Canada,Calgary,537.63
CUST-000096,Consumer,Europe,France,Lyon,3335.17
CUST-000097,Home Office,Europe,United Kingdom,Edinburgh,1553.74
CUST-000098,Consumer,North America,Canada,Vancouver,751.39
CUST-000099,Corporate,APAC,Australia,Brisbane,3333.74
CUST-000100,Home Office,Europe,Germany,Hamburg,2268.99
CUST-000101,Corporate,Europe,Germany,Frankfurt,273.05
CUST-000102,Consumer,North America,United States,Houston,3353.52
CUST-000103,Corporate,North America,Canada,Toronto,162.94
CUST-000104,Consumer,Europe,United Kingdom,London,1674.83
CUST-000105,Consumer,Europe,France,Lyon,395.44
CUST-000106,Corporate,Europe,France,Lyon,1798.24
CUST-000107,Corporate,North America,United States,Los Angeles,505.53
CUST-000108,Corporate,APAC,Australia,Sydney,529.15
CUST-000109,Consumer,North America,Canada,Toronto,2071.3
CUST-000110,Corporate,North America,United States,Seattle,2798.74
CUST-000111,Corporate,North America,United States,Houston,1326.06
CUST-000112,Consumer,Europe,United Kingdom,Edinburgh,791.78
CUST-000113,Consumer,North America,Canada,Vancouver,541.58
CUST-000114,Home Office,APAC,Australia,Perth,849.14
CUST-000115,Home Office,North America,Canada,Calgary,1546.27
CUST-000116,Corporate,APAC,Japan,Nagoya,1127.81
CUST-000117,Corporate,North America,Canada,Toronto,1099.61
CUST-000118,Consumer,North America,United States,Dallas,1944.47
CUST-000119,Consumer,Europe,United Kingdom,Edinburgh,184.46
CUST-000120,Corporate,Europe,Germany,Frankfurt,422.91
CUST-000121,Home Office,APAC,Japan,Tokyo,4458.59
CUST-000122,Home Office,APAC,Australia,Sydney,797.2
CUST-000123,Consumer,North America,United States,Dallas,3839.73
CUST-000124,Consumer,APAC,Australia,Brisbane,4911.18
CUST-000125,Home Office,APAC,Japan,Tokyo,2834.34
CUST-000126,Consumer,North America,Canada,Vancouver,830.81
CUST-000127,Home Office,North America,Canada,Calgary,683.6
CUST-000128,Consumer,North America,Canada,Calgary,1289.23
CUST-000129,Home Office,North America,Canada,Montreal,1817.16
CUST-000130,Corporate,Europe,Germany,Munich,293.12
CUST-000131,Corporate,APAC,Japan,Tokyo,6604.8
CUST-000132,Consumer,Europe,Germany,Berlin,1172.69
CUST-000133,Home Office,North America,United States,New York,2040.05
CUST-000134,Corporate,North America,United States,Houston,1847.2
CUST-000135,Consumer,North America,Canada,Calgary,636.59
CUST-000136,Home Office,Europe,Germany,Frankfurt,2475.86
CUST-000137,Home Office,North America,Canada,Calgary,3572.46
CUST-000138,Corporate,North America,United States,Chicago,1124.66
CUST-000139,Corporate,Europe,Germany,Berlin,1619.61
CUST-000140,Corporate,Europe,Germany,Hamburg,2374.07
CUST-000141,Home Office,APAC,Japan,Nagoya,727.48
CUST-000142,Consumer,Europe,United Kingdom,Edinburgh,288.17
CUST-000143,Corporate,APAC,Australia,Perth,201.25
CUST-000144,Consumer,North America,Canada,Vancouver,1245.21
CUST-000145,Consumer,Europe,United Kingdom,Manchester,1401.09
CUST-000146,Consumer,North America,United States,New York,203.29
CUST-000147,Home Office,APAC,Australia,Brisbane,775.22
CUST-000148,Consumer,North America,United States,New York,1184.12
CUST-000149,Corporate,Europe,France,Toulouse,490.37
CUST-000150,Corporate,Europe,France,Lyon,274.9
CUST-000151,Consumer,North America,United States,Los Angeles,1211.07
CUST-000152,Corporate,APAC,Japan,Osaka,1570.35
CUST-000153,Corporate,North America,United States,Los Angeles,5362.98
CUST-000154,Corporate,APAC,Australia,Melbourne,696.03
CUST-000155,Corporate,Europe,Germany,Berlin,592.19
CUST-000156,Consumer,Europe,France,Lyon,264.39
CUST-000157,Consumer,Europe,France,Paris,4752.33
CUST-000158,Home Office,Europe,France,Paris,1816.9
CUST-000159,Consumer,Europe,Germany,Hamburg,416.43
CUST-000160,Consumer,Europe,United Kingdom,Manchester,553.21
CUST-000161,Corporate,APAC,Australia,Brisbane,1905.39
CUST-000162,Corporate,North America,Canada,Montreal,609.78
CUST-000163,Home Office,Europe,Germany,Munich,2024.62
CUST-000164,Corporate,APAC,Australia,Brisbane,1474.44
CUST-000165,Consumer,Europe,Germany,Hamburg,548.53
CUST-000166,Consumer,APAC,Japan,Tokyo,2135.45
CUST-000167,Consumer,North America,United States,Atlanta,322.73
CUST-000168,Consumer,Europe,France,Paris,208.21
CUST-000169,Home Office,North America,United States,Houston,1852.74
CUST-000170,Consumer,Europe,France,Marseille,294.14
CUST-000171,Consumer,North America,Canada,Montreal,1048.03
CUST-000172,Consumer,North America,United States,Houston,946.46
CUST-000173,Consumer,Europe,United Kingdom,Birmingham,1489.41
CUST-000174,Corporate,North America,Canada,Calgary,214.91
CUST-000175,Consumer,APAC,Japan,Yokohama,1526.37
CUST-000176,Corporate,Europe,France,Paris,2867.89
CUST-000177,Corporate,APAC,Australia,Brisbane,398.99
CUST-000178,Consumer,APAC,Australia,Sydney,1589.75
CUST-000179,Consumer,North America,Canada,Montreal,1383.89
CUST-000180,Home Office,North America,United States,Los Angeles,1349.5
CUST-000181,Consumer,APAC,Australia,Melbourne,1593.16
CUST-000182,Consumer,Europe,United Kingdom,Birmingham,1254.34
CUST-000183,Home Office,Europe,France,Lyon,833.1
CUST-000184,Home Office,APAC,Australia,Brisbane,3450.61
CUST-000185,Consumer,North America,Canada,Montreal,250.64
CUST-000186,Consumer,Europe,France,Toulouse,175.75
CUST-000187,Consumer,Europe,United Kingdom,London,1758.42
CUST-000188,Consumer,North America,United States,Dallas,687.82
CUST-000189,Home Office,APAC,Japan,Yokohama,182.97
CUST-000190,Home Office,North America,United States,New York,613.52
CUST-000191,Consumer,Europe,United Kingdom,Manchester,1820.42
CUST-000192,Corporate,APAC,Australia,Brisbane,3089.18
CUST-000193,Corporate,North America,Canada,Calgary,2427.79
CUST-000194,Consumer,Europe,France,Toulouse,423.47
CUST-000195,Corporate,Europe,France,Paris,2451.89
CUST-000196,Home Office,North America,United States,Los Angeles,894.91
CUST-000197,Consumer,APAC,Australia,Melbourne,2247.14
CUST-000198,Consumer,Europe,France,Paris,3888.19
CUST-000199,Home Office,APAC,Japan,Yokohama,934.5
CUST-000200,Corporate,Europe,France,Lyon,2116.49
