ProductID,SKU,Category,SubCategory,Brand,Cost,SellingPrice,Margin
PROD-0047,SKU-TEC-AUD-0047,Technology,Audio & Headphones,LogiTech,209.02,433.47,0.5178
PROD-0048,SKU-TEC-SMA-0048,Technology,Smartphones,GlobalGear,39.58,48.76,0.1883
PROD-0049,SKU-OFF-BIN-0049,Office Supplies,Binders,OmniSupplies,929.98,2056.57,0.5478
PROD-0050,SKU-OFF-BIN-0050,Office Supplies,Binders,IndustrialPlus,791.79,1363.27,0.4192
PROD-0051,SKU-LOG-LAB-0051,Logistics Gear,Label Printers,OmniSupplies,872.39,1528.63,0.4293
PROD-0052,SKU-OFF-PAP-0052,Office Supplies,Paper & Printing,GlobalGear,924.71,1293.66,0.2852
PROD-0053,SKU-LOG-LAB-0053,Logistics Gear,Label Printers,LogiTech,84.96,127.22,0.3322
PROD-0054,SKU-FUR-LIG-0054,Furniture,Lighting,GlobalGear,668.45,1349.31,0.5046
PROD-0055,SKU-FUR-LIG-0055,Furniture,Lighting,FlexiWorkspace,331.45,554.08,0.4018
PROD-0056,SKU-LOG-LAB-0056,Logistics Gear,Label Printers,OmniSupplies,63.89,115.68,0.4477
PROD-0057,SKU-OFF-PEN-0057,Office Supplies,Pens & Stationery,OmniSupplies,914.45,1974.2,0.5368
PROD-0058,SKU-FUR-OFF-0058,Furniture,Office Chairs,ApexCorp,767.09,979.18,0.2166
PROD-0059,SKU-OFF-BIN-0059,Office Supplies,Binders,ApexCorp,865.49,1187.39,0.2711
PROD-0060,SKU-FUR-LIG-0060,Furniture,Lighting,FlexiWorkspace,439.42,613.12,0.2833
PROD-0061,SKU-OFF-BIN-0061,Office Supplies,Binders,AmazonBasics,738.72,1608.71,0.5408
PROD-0062,SKU-OFF-PEN-0062,Office Supplies,Pens & Stationery,FlexiWorkspace,502.83,1072.13,0.531
PROD-0063,SKU-LOG-LAB-0063,Logistics Gear,Label Printers,ApexCorp,285.83,568.25,0.497
PROD-0064,SKU-LOG-PAC-0064,Logistics Gear,Packaging Tape,OmniSupplies,254.64,435.65,0.4155
PROD-0065,SKU-LOG-LAB-0065,Logistics Gear,Label Printers,FlexiWorkspace,149.62,299.9,0.5011
PROD-0066,SKU-FUR-BOO-0066,Furniture,Bookcases,LogiTech,538.27,659.48,0.1838
PROD-0067,SKU-LOG-PAL-0067,Logistics Gear,Pallet Jacks,ApexCorp,38.32,63.01,0.3918
PROD-0068,SKU-OFF-PEN-0068,Office Supplies,Pens & Stationery,OmniSupplies,586.02,772.2,0.2411
PROD-0069,SKU-FUR-DES-0069,Furniture,Desks,ProTech,607.16,786.99,0.2285
PROD-0070,SKU-FUR-LIG-0070,Furniture,Lighting,OmniSupplies,407.1,643.33,0.3672
PROD-0071,SKU-LOG-PAL-0071,Logistics Gear,Pallet Jacks,OmniSupplies,275.7,458.81,0.3991
PROD-0072,SKU-TEC-MON-0072,Technology,Monitors,GlobalGear,450.34,740.69,0.392
PROD-0073,SKU-TEC-MON-0073,Technology,Monitors,IndustrialPlus,223.34,392.58,0.4311
PROD-0074,SKU-OFF-STO-0074,Office Supplies,Storage Boxes,GlobalGear,913.51,1576.92,0.4207
PROD-0075,SKU-FUR-BOO-0075,Furniture,Bookcases,AmazonBasics,873.82,1216.68,0.2818
PROD-0076,SKU-LOG-PAL-0076,Logistics Gear,Pallet Jacks,ApexCorp,398.37,688.51,0.4214
PROD-0077,SKU-TEC-SMA-0077,Technology,Smartphones,GlobalGear,582.95,818.98,0.2882
PROD-0078,SKU-OFF-STO-0078,Office Supplies,Storage Boxes,IndustrialPlus,815.18,1379.79,0.4092
PROD-0079,SKU-LOG-BAR-0079,Logistics Gear,Barcode Scanners,LogiTech,155.0,204.08,0.2405
PROD-0080,SKU-TEC-LAP-0080,Technology,Laptops,OmniSupplies,378.63,648.12,0.4158
PROD-0081,SKU-TEC-ACC-0081,Technology,Accessories,LogiTech,308.81,427.24,0.2772
PROD-0082,SKU-LOG-IND-0082,Logistics Gear,Industrial Scales,AmazonBasics,730.72,1249.52,0.4152
PROD-0083,SKU-LOG-PAL-0083,Logistics Gear,Pallet Jacks,FlexiWorkspace,62.86,124.87,0.4966
PROD-0084,SKU-LOG-PAL-0084,Logistics Gear,Pallet Jacks,GlobalGear,900.08,1627.63,0.447
PROD-0085,SKU-LOG-BAR-0085,Logistics Gear,Barcode Scanners,ProTech,637.94,849.0,0.2486
PROD-0086,SKU-LOG-BAR-0086,Logistics Gear,Barcode Scanners,IndustrialPlus,680.39,1369.55,0.5032
PROD-0087,SKU-FUR-OFF-0087,Furniture,Office Chairs,ProTech,323.3,423.5,0.2366
PROD-0088,SKU-LOG-IND-0088,Logistics Gear,Industrial Scales,ApexCorp,248.52,389.35,0.3617
PROD-0089,SKU-LOG-IND-0089,Logistics Gear,Industrial Scales,AmazonBasics,423.36,885.88,0.5221
PROD-0090,SKU-LOG-PAC-0090,Logistics Gear,Packaging Tape,GlobalGear,161.62,350.66,0.5391
PROD-0091,SKU-FUR-LIG-0091,Furniture,Lighting,ProTech,795.33,1063.56,0.2522
PROD-0092,SKU-TEC-ACC-0092,Technology,Accessories,IndustrialPlus,348.96,484.06,0.2791
PROD-0093,SKU-FUR-LIG-0093,Furniture,Lighting,GlobalGear,434.14,783.22,0.4457
PROD-0094,SKU-FUR-LIG-0094,Furniture,Lighting,OmniSupplies,384.58,502.26,0.2343
PROD-0095,SKU-TEC-LAP-0095,Technology,Laptops,ProTech,764.68,1108.55,0.3102
PROD-0096,SKU-OFF-ENV-0096,Office Supplies,Envelopes,GlobalGear,164.32,344.92,0.5236
PROD-0097,SKU-LOG-IND-0097,Logistics Gear,Industrial Scales,FlexiWorkspace,910.19,1326.03,0.3136
PROD-0098,SKU-OFF-BIN-0098,Office Supplies,Binders,AmazonBasics,913.44,1150.72,0.2062
PROD-0099,SKU-LOG-IND-0099,Logistics Gear,Industrial Scales,AmazonBasics,75.1,130.86,0.4261
PROD-0100,SKU-OFF-STO-0100,Office Supplies,Storage Boxes,GlobalGear,852.73,1724.43,0.5055
